PDF Name,Job role,skills,Education
15576950.pdf,HR SPECIALIST, Policies Requests Data entry Inventory Process Documentation Recruitment Administration Human resources Customer service System Reports Cpr Communication Spanish Reporting Training Vendors Correspondence Access Sap Compliance Recruiting Staffing,Diploma
14640322.pdf,HR GENERALIST, Audit Writing Policies Process Documentation Payroll Recruitment Human resources Queries Finance Coaching Reports Communication Networking Acquisition Vendor management Excel Physics Ibm Vendors Sourcing Technical Recruiting Database English Engagement Mis Analysis,M.B.A Bachelor of Science   :  Physics Honours      2002
16877897.pdf,ASSISTANT MANAGER - HR, Audit Safety Distribution Process Payroll Scheduling Cost reduction Word Javascript Recruitment Css Administration Sql Operations System Budget Employee engagement Reports Plan Analytical skills Communication Security Html Time management Excel Matrix Training Sports Sap Technical Compliance Sourcing Database Engagement Windows Mis Human resource Operating systems Analytical Iso,Bachelor of Education (B.Ed) MBA   :  Human Resource Human Resource Bachelor of Science (B.Sc)   :  Biotechnology
15041689.pdf,HR DIRECTOR, Safety Tv Policies Hris Process Reconciliation Payroll Investigations Employee relations Recruitment Administration System Design Coaching Reports Plan Outreach Mathematics Counsel Recruit Reporting Training Peoplesoft Compliance Recruiting Database Retention Engagement Regulations Staffing,Newberry College  H.S. Diploma Honor graduate   GPA: 3.5 Honor graduate SkillsADP  Benefits  counseling  database  employee relations  hiring  HRIS  HR  Director  meetings  Enterprise  newspapers  payroll  PeopleSoft 8.0  PeopleSoft HRMS  Performance management  personnel  policies  processes  Recruitment  reporting  safety  TV Professional Affiliations
17855844.pdf,HR MANAGER, Policies Hris Legal Process Investigations Change management Employee relations Word Recruitment Oracle Administration Human resources Operations System Design Plan Investigate Intranet Due diligence Adobe Brand Sales Health Acquisition Supervisor Responses Excel Training Illustrator Improvement Access Sap Retention Compliance Powerpoint Recruiting Analysis Certification Staffing,Interests  B.S Member of Society of Human Resource Management since 2001 Director's Award
18297650.pdf,VOLUNTEER HR -IVOLUNTEER, Schedules C++ Policies International Process Modeling Scheduling Payroll Recruitment Oracle Contracts Human resources Sql C Schedule System Coaching Talent acquisition Profiling Presentations Communication Networking Linux Unix Security Teaching Acquisition Advertising Engineering Training Presentation Research Testing Logistics Java Sql server Vendors Sourcing Technical Recruiting Sap Database .net Windows Analysis Staffing Accounting,Post Graduate Diploma Masters Bachelor of Commerce Bachelor
11847784.pdf,HR SPECIALIST, Hospital Policies Requests Legal Process Negotiation Word Recruitment Administration Budget Communication Security Acquisition Excel Fulfillment Training Research Technical Powerpoint English Regulations Analysis,Bachelor of Arts   :  English Lit/Language
18731098.pdf,SENIOR HR MANAGER, Safety Tax Distribution Policies Hris Data entry Invoicing Process Inventory Travel arrangements Hotels Payroll Receivables Reconciliation Employee relations Strategy Word Administration Travel Conversion Human resources Operations Transportation Finance Customer service System Coaching Reports Communication Invoices Health Financial statements Purchasing Filing Reporting Excel Microsoft office Training Logistics Access Sap Retention Recruiting Compliance Database Payments Powerpoint Analyze Project management Business management Windows Operating systems Analysis Administrative support Staffing Cash flow Accounting,Master of Science   :  Health Administration Bachelors of Arts Degree
13520837.pdf,HR REPRESENTATIVE, Policies Hris Data entry Process Scheduling Payroll Recruitment Moment Travel Human resources C Schedule Email Coaching Outreach Communication Sales Recruit Reporting Merchandising Training Testing Correspondence Recruiting,Bachelor of Science
14225422.pdf,HR MANAGER/GENERALIST, Safety Proposal Metrics Policies Billing Hris Requests Psychology Process Fda Payroll Employee relations Word Recruitment Reconcile Administration Operations System Transactions Coaching Plan Reports Counsel Security Reporting Excel Engineering Training Research Vendors Recruiting Compliance Powerpoint Analyze Staffing Investigation Iso Benchmark,Master of Science Degree Bachelor of Arts Degree
19179079.pdf,RECRUITING AND HR MANAGER, Partnerships Schedules Supervising Content Policies International Hris Legal Process Payroll Negotiation Strategy Recruitment Word Administration Human resources Crm Operations Customer service Schedule System Budget Coaching Marketing Plan Lifecycle Reports Statistics Consulting Updates Presentations Communication Sales Health Acquisition Excel Engineering Training Fulfillment Sourcing Technical Recruiting Compliance Powerpoint Database Regulations Telecom Staffing Program management Accounting,Bachelor of Science   :  Management of Human Resources
17150707.pdf,HR SHARED SERVICES ANALYST, Audit Metrics Policies Hris Requests Process Payroll Documentation Employee relations Administration System Reports Outreach Updates Reporting Microsoft office Training Fulfillment Research Testing Vendors Peoplesoft Sap Technical Compliance Payments Researching Project management Regulations,B.S
18422164.pdf,HR SPECIALIST, Writing Policies Process Reconciliation Documentation Payroll Recruitment Administration Human resources Operations Customer service System Budget Transactions Reports Sops Communication Advertising On-boarding Training Research Process improvements Case management Sourcing Recruiting English Regulations Workflow Staffing,Masters Bachelor of Arts
18316239.pdf,HR GENERALIST, Safety Writing Policies Hris Legal Inventory Process Video Employee relations Word Recruitment Workflow Administration Human resources Operations Finance System Budget Coaching Reports Startup Sales Security Health Supervisor Recruit Excel Training Process improvements Peoplesoft Access Healthcare Retention Compliance Powerpoint Recruiting Project management Certification,Associate of Applied Science
10694288.pdf,HR BENEFITS/LEAVE COORDINATOR, Schedules Content Policies Hris Requests Process Payroll Website Reconcile Human resources System Reports Health Reporting Training Research Payments Analyze Regulations,Bluefield College New River Community College  Bachelor of Science Associate of Applied Science
18084150.pdf,SR. HR GENERALIST, Audit Safety Policies Hris Legal Payroll Employee relations Word Recruitment Oracle Administration Budget Quickbooks Reports Health Flex Recruit Reporting Excel Spanish Training Vendors Retail Peoplesoft Access Retention Compliance Powerpoint Recruiting Database English Expenses Analytical,Master of Science   :  Industrial/Organization Psych
13376919.pdf,REGIONAL HR DEPUTY MANAGER, Audit Metrics Policies Process Recruitment Word Oracle Human resources Operations Employee engagement Reports Plan Marketing Talent acquisition Sales Acquisition Publishing Vendor management Reporting Excel Banking Ms excel Training Peoplesoft Sourcing Retention Recruiting Powerpoint Operational excellence Engagement Analysis,MBA
18827609.pdf,HR ASSOCIATE, Branding Event planning Hris Psychology Process Microsoft office suite Employee relations Strategy Recruitment Administration Human resources Internal stakeholders Budget Email Marketing Plan Lifecycle Regulatory compliance Talent acquisition Outreach Communication Brand Acquisition Excel Ms excel Training Sourcing Recruiting Compliance Researching Project management Engagement Expenses Regulatory,Bachelor of Science   :  Business Administration
14886205.pdf,HR MANAGER, Writing Tax Content Distribution Talent management Psychology Process Payroll Word Visual Schedule Design System Quickbooks Reports Statistics Talent acquisition Spreadsheets Sales Cisco Acquisition Filing Excel Training Presentation Research Recruiting Powerpoint Database English Analysis Expenses,B.A
17412079.pdf,HR CONSULTING, Policies Distribution Hris Process Payroll Word Recruitment Administration System Budget Reports Plan Consulting Networking Health Reporting Excel Training Research Improvement Access Sourcing Sap Retention Recruiting Database Powerpoint Technical Compliance Engagement Mis Regulations Human resource Analysis,MBA   :  Human Resource Management Human Resource Management Bachelors of Commerce Masters of Business Administration
10399912.pdf,HR PERSONNEL ASSISTANT, Audit Schedules Distribution Data entry Legal Inventory Microsoft word Scheduling Documentation Inventory management Administrative support Word Human resources Customer service System Transactions Reports Email Protocols Updates Counsel Teaching Sales Filing Excel Ms excel Research Auditing Retail Peoplesoft Correspondence Powerpoint Database Certification,Bachelor's of Arts   :   Political Science and Law Bachelor's of Arts Degree in Political Science and Law
13879043.pdf,HR CONSULTING, Policies Distribution Process Payroll Recruitment Administration System Budget Reports Plan Consulting Networking Health Reporting Training Research Improvement Access Sourcing Sap Retention Recruiting Database Technical Compliance Engagement Mis Regulations Human resource Analysis,Human Resource Management Bachelors of Commerce Masters of Business Administration
18155310.pdf,HR COORDINATOR, Safety Schedules Supervising Requests Inventory Payroll Scheduling Investigations Troubleshooting Repairs Strategy Word Cost reduction Administration Contracts Human resources Schedule Employee engagement Budget Coaching Reports Strategic initiatives Standard operating procedures Communication Forecasting Sales Health Purchasing Advertising Procurement Excel Business intelligence Training Variances Improvement Retail Retention Recruiting Powerpoint Compliance Business management Engagement Certification Staffing Accounting,Associates in Business Management
